id,dataset,question,option_0,option_1,option_2,option_3,probing_accuracy,logits,prediction,gold,bertscore_f1,heuristic_dependence_score,reasoning_score,context_fidelity_score,shap_score,contrastive_prediction_original,contrastive_prediction_swapped,contrastive_robust
85,SATACT,"If the writer were to delete the phrase ""sixteen hours for a complete cycle of tides"" from the sentence, ""I knew that it took about eight hours for the tides to change from high to low, sixteen hours for a complete cycle of tides."" (ending the sentence with a period), what detail would the essay would primarily lose?",shows how the narrator's interests are different from the mother's interests.,contradicts a point made earlier in the paragraph.,helps establish the setting for the essay.,displays the narrator‚Äôs knowledge of tides.,0.2,"[-52.56857220083475, -72.6834048628807, -37.72694140672684, -88.13712503015995]",2,3,0.8411716,1.0,3.838,0.0,5.041,C,B,False
86,SATACT,Which choice completes the text with the most logical transition?,"Specifically,","Similarly,","Nevertheless,","Hence,",0.2,"[-14.350549913942814, -13.363777849823236, -14.2872233428061, -30.681189477443695]",1,0,0.98803806,0.0,1.447,0.0,1.732,B,C,False
87,SATACT,Which choice completes the text with the most logical and precise word or phrase?,haphazard,premeditated,inspirational,fruitless,0.2,"[-23.047828973270953, -19.338240265846252, -53.476789474487305, -20.12165856361389]",1,0,0.7981422,0.0,2.84,0.0,3.414,B,C,False
88,SATACT,"In the sentence ""Edna Gellhorn witnessed a victory that year when votes for women would became part of the 1916 Democratic Party’s set of positions, or platform."", what is the best answer to replace the phrase ""set of positions, or""?",NO CHANGE,"set of positions, otherwise known as its",set of positions—its,OMIT the underlined portion.,0.2,"[-22.070800080895424, -35.716947205364704, -28.47579950094223, -37.14811593294144]",0,3,0.7979974,0.75,1.209,0.0,1.508,A,D,False
89,SATACT,Which choice most logically completes the text?,increasing the number of medicinal plants represented in the vocabularies of Indigenous languages.,transmitting terms for medicinal plants from Indigenous languages to globally dominant languages.,preserving knowledge about the medicinal value of plants native to the tribal nations’ lands.,ensuring that citizens of tribal nations have physical access to medicinal plants.,0.2,"[-53.34076672629453, -71.77872079610825, -68.95147220417857, -69.33462721481919]",0,2,0.8951791,0.5,1.461,0.0,1.844,A,D,False
90,SATACT,The student wants to emphasize a difference between baking soda and baking powder. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"To make batters rise, bakers use chemical leavening agents such as baking soda and baking powder.","Baking soda and baking powder are chemical leavening agents that, when mixed with other ingredients, cause carbon dioxide to be released within a batter.","Baking soda is pure sodium bicarbonate, and honey is a type of acidic ingredient.","To produce carbon dioxide within a liquid batter, baking soda needs to be mixed with an acidic ingredient, whereas baking powder does not.",0.2,"[-38.399289969180245, -35.374837216048036, -35.90460598723439, -36.89589250955032]",1,3,0.90754145,1.0,0.23,1.0,0.302,B,C,False
91,SATACT,"It can reasonably be inferred that after seeing the first man walk on the moon, compared to the narrator of Passage B, the narrator of Passage A felt:",more impressed by the fact that the event was broadcast on television.,more optimistic about future space exploration.,less able to appreciate the celebration surrounding the man on the moon.,less disappointed by the delay in the broadcast.,0.2,"[-142.34272360801697, -84.89897584915161, -141.61090564727783, -88.195876121521]",1,2,0.87804383,0.75,5.548,0.0,5.744,B,C,False
92,SATACT,Which choice completes the text with the most logical and precise word or phrase?,speculate about,dismiss,expand on,catalog,0.2,"[-53.14877104759216, -41.15382671356201, -38.07451248168945, -36.94174003601074]",3,0,0.8883601,0.0,1.287,1.0,1.621,D,A,False
93,SATACT,Which choice completes the text with the most logical transition?,"For example,","For this reason,","Nowadays,","Similarly,",0.2,"[-13.67413367331028, -17.814510822296143, -17.702447324991226, -14.143255971372128]",0,1,0.8774565,0.0,0.386,0.0,0.414,A,D,False
94,SATACT,Which quotation from a participant would best illustrate the researcher’s claim?,"“After I came out of the haunted house, I felt very accomplished and less stressed.”",“My friends kept laughing as we were walking through the haunted house.”,"“The haunted house was scary at first, but I knew everyone was just acting, so I felt less scared after a few minutes.”",“The sense of relief I felt at the end of the haunted house was similar to the feelings I have when I finish a scary movie.”,0.2,"[-65.79175873659551, -59.23542776145041, -87.49108802899718, -75.1308094970882]",1,0,0.92381465,1.0,2.124,0.0,2.826,B,C,False
95,SATACT,Which choice most logically completes the text?,conditions of the terrains in the Rio Grande Valley and Mesa Verde had greater similarities in the past than they do today.,some Ancestral Puebloans migrated to the Rio Grande Valley in the late 1200s and carried farming practices with them.,Indigenous peoples living in the Rio Grande Valley primarily planted crops and did not cultivate turkeys before 1280.,the Ancestral Puebloans of Mesa Verde likely adopted the farming practices of Indigenous peoples living in other regions.,0.2,"[-95.63687132083578, -55.417806890793145, -85.41003939515213, -66.25536099437159]",1,1,0.9999999,1.0,3.15,0.0,4.022,B,C,False
96,SATACT,Which choice completes the text with the most logical transition?,"In addition,","In contrast,","Specifically,","Therefore,",0.2,"[-14.915215849876404, -16.244125247001648, -14.763011783361435, -13.928648799657822]",3,2,0.9893037,0.0,0.166,0.0,0.232,D,A,False
97,SATACT,The student wants to contrast the emissivity of reflective metal fibers with that of silicon carbide fibers. Which choice most effectively uses relevant information from the notes to accomplish this goal?,The ability of reflective metal fibers and silicon carbide fibers to emit heat was determined by an analysis of each material's emissivity.,"The amount of heat a material absorbs is equal to the amount it emits, as evidenced in Abebe's analyses.","Though the reflective metal fibers and silicon carbide fibers had different rates of emissivity, Abebe planned to use both in a garment.","Whereas the reflective metal fibers had an emissivity of just 0.02, the silicon carbide fibers absorbed large amounts of heat, resulting in an emissivity of 0.74.",0.2,"[-48.76731145789381, -52.18319293553941, -63.97072175855283, -50.393976210732944]",0,3,0.9077179,1.0,1.196,0.0,1.52,A,D,False
98,SATACT,The student wants to explain an advantage of the new platinum catalyst developed by Jianbo Tang and his colleagues. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Researcher Jianbo Tang and his colleagues created a platinum catalyst that combines platinum, a rare and expensive metal, with liquid gallium.","Like other platinum catalysts, the new platinum catalyst requires a particular amount of the metal to be effective.","Platinum is a rare and expensive metal that is used as a catalyst for chemical reactions; however, platinum catalysts typically require a large amount of platinum to be effective.","While still highly effective, the new platinum catalyst requires far less of the rare and expensive metal than do other platinum catalysts.",0.2,"[-29.756986298474658, -44.77528997883201, -55.113831179158296, -61.61916548432782]",0,3,0.88199085,1.0,2.407,1.0,3.186,A,D,False
99,SATACT,Which choice completes the text with the most logical and precise word or phrase?,selecting,inspecting,creating,deciding,0.2,"[-30.403472900390625, -36.43798637390137, -31.99652671813965, -35.1485652923584]",0,1,0.99978447,0.0,0.482,0.0,0.603,A,D,False
250,SATACT,The student wants to emphasize a difference between the two books. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Although both are powerful works of literature that contributed to new legislation, Equiano’s book is an autobiography, while Sinclair’s is fictional.","They may have written about different topics, but Equiano and Sinclair both influenced readers.","The 1807 Slave Trade Act resulted in part from a book by Equiano, while the 1906 Pure Food and Drug Act resulted in part from a book by Sinclair.","The Interesting Narrative of the Life of Olaudah Equiano and The Jungle are two works of literature that contributed to new legislation (concerning the slave trade and food safety, respectively).",0.2,"[-56.97073157261184, -59.736004920327105, -55.42555325964349, -65.0523861569236]",2,1,0.8597376,0.75,0.733,1.0,0.963,C,B,False
251,SATACT,Which choice completes the text with the most logical and precise word or phrase?,verifying,multiplying,comforting,ensuring,0.2,"[-30.418670654296875, -55.57876396179199, -34.50593566894531, -33.727291107177734]",0,3,0.9996028,0.0,1.989,0.0,2.516,A,D,False
252,SATACT,Which choice completes the text with the most logical transition?,"For instance,","By contrast,","Specifically,","In conclusion,",0.2,"[-15.019494533538818, -15.749514643102884, -14.89545488357544, -16.53475795686245]",2,1,0.87882936,0.0,0.131,1.0,0.164,C,B,False
253,SATACT,Which choice best describes the overall structure of the text?,It presents alternating descriptions of night in a rural area and in a city.,"It sketches an image of nightfall, then an image of sunrise.",It makes an extended comparison of night to a human being.,It portrays how night changes from one season of the year to the next.,0.2,"[-54.55210079997778, -50.58457124605775, -50.08023941516876, -47.9185588657856]",3,2,0.871924,1.0,0.479,0.0,0.663,D,A,False
254,SATACT,Which choice completes the text with the most logical and precise word or phrase?,attached,collected,followed,replaced,0.2,"[-34.85673713684082, -34.21949768066406, -28.962905883789062, -34.14113426208496]",2,1,0.99931633,0.0,0.475,0.0,0.589,C,B,False
255,SATACT,Which choice completes the text with the most logical and precise word or phrase?,surmised,contrived,questioned,regretted,0.2,"[-22.445844650268555, -18.33811092376709, -36.7390251159668, -52.353023529052734]",1,0,0.84746355,0.0,2.672,0.0,3.401,B,C,False
256,SATACT,"Which finding, if true, would most directly support Barboza and Trejos's claim?",Many marketplaces require entrepreneurs to pay marketplace operators a fixed percentage of each day's proceeds in exchange for permission to sell goods there.,"Rural entrepreneurs can typically sell their goods for higher prices in cities than in their home areas, but the number of people selling competing goods tends to be higher in cities.","Due to the lower costs they incur, rural entrepreneurs tend to require smaller initial loans than urban entrepreneurs do.",The cost to rural entrepreneurs to bring their goods to towns with marketplaces is high but largely independent of the number of goods they bring.,0.2,"[-97.5450580707984, -116.02158411499113, -67.28524074144661, -94.33825103193521]",2,3,0.87968767,0.5,3.48,0.0,4.874,C,B,False
257,SATACT,Which choice completes the text with the most logical and precise word or phrase?,dispute,withdraw,underscore,invalidate,0.2,"[-47.82461071014404, -29.242420196533203, -32.47805404663086, -30.48270547389984]",1,3,0.8911892,0.0,1.498,0.0,1.858,B,C,False
258,SATACT,Which choice best describes the overall structure of the text?,The speaker argues against interfering with nature and then gives evidence supporting this interference.,The speaker presents an account of efforts to dominate nature and then cautions that such efforts are only temporary.,The speaker provides examples of an admirable way of approaching nature and then challenges that approach.,The speaker describes attempts to control nature and then offers a reminder that not all nature is controllable.,0.2,"[-68.62546171247959, -80.79267843998969, -78.06332442164421, -70.648376665049]",0,3,0.9145572,1.0,1.008,0.0,1.217,A,D,False
259,SATACT,"Which finding, if true, would most directly support the student's claim?","Chambi took many commissioned portraits of wealthy Peruvians, but he also produced hundreds of images carefully documenting the peoples, sites, and customs of Indigenous communities of the Andes.","Chambi's photographs demonstrate a high level of technical skill, as seen in his strategic use of illumination to create dramatic light and shadow contrasts.","During his lifetime, Chambi was known and celebrated both within and outside his native Peru, as his work was published in places like Argentina, Spain, and Mexico.",Some of the peoples and places Chambi photographed had long been popular subjects for Peruvian photographers.,0.2,"[-104.1068828231073, -76.78429604362464, -81.56286070559872, -53.515495686093345]",3,0,0.8786899,1.0,3.593,0.0,5.059,D,A,False
260,SATACT,"In the sentence ""Accordingly, St. Peter’s Basilica, the largest cathedral in the Northern Hemisphere, is remarkable."", what is the best answer to replace the phrase ""Accordingly""?",NO CHANGE,"Indeed,","For instance,",OMIT the underlined portion,0.2,"[-21.92495608329773, -12.868717476725578, -15.29969035089016, -37.00613099336624]",1,3,0.79061854,0.5,1.88,1.0,2.414,B,C,False
261,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,Moon’s,Moons,Moons’,Moon,0.2,"[-39.39593768119812, -31.10900592803955, -52.503159523010254, -15.938529014587402]",3,0,0.9065879,0.0,2.653,0.0,3.656,D,A,False
262,SATACT,Which choice completes the text with the most logical and precise word or phrase?,delegate,compose,interpret,renounce,0.2,"[-34.68240547180176, -33.35268211364746, -15.574308395385742, -19.471519470214844]",2,2,1.0000001,0.0,1.675,0.0,1.911,C,B,False
263,SATACT,Which choice completes the text with the most logical transition?,"For instance,","By contrast,","Specifically,","In conclusion,",0.2,"[-14.418053664267063, -15.243750307708979, -14.553117528557777, -16.194883823394775]",0,1,0.9115532,0.0,0.141,0.0,0.178,A,D,False
0,SATACT,Which choice best states the main purpose of the text?,It illustrates a character’s reaction to a new environment.,It explains why a character has traveled to a city.,It compares a character’s thoughts about an event at two different times of day.,It presents a character feeling regret over leaving home.,0.2,"[-36.8512132781907, -42.761945605278015, -64.63959767436609, -45.84383511543274]",0,0,1.0,1.0,2.079,1.0,2.779,A,D,False
1,SATACT,Which choice completes the text with the most logical and precise word or phrase?,restricted,announced,distracted,influenced,0.2,"[-19.43003273010254, -18.817516326904297, -36.81983184814453, -53.820438385009766]",1,3,0.999277,0.0,2.883,0.0,3.5,B,C,False
2,SATACT,The student wants to emphasize the duration and purpose of Cohen's and Rodrigues's work. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"At the Gullah Museums in Hilton Head Island and Georgetown, South Carolina, visitors can learn more about the Gullah people who have lived in the region for centuries.","Louise Miller Cohen and Vermelle Rodrigues have worked to preserve the culture of the Gullah people, who have lived in the United States since the 18th century.","Since 2003, Louise Miller Cohen and Vermelle Rodrigues have worked to preserve Gullah culture through their museums.","Influenced by the traditions of West and Central Africa, Gullah culture developed in parts of the southeastern United States in the 18th century.",0.2,"[-59.151653244072804, -70.11255974025698, -46.18212798668537, -70.08572285226546]",2,2,1.0,1.0,1.97,1.0,2.393,C,B,False
3,SATACT,Which choice completes the text with the most logical and precise word or phrase?,invented,adjusted,featured,recommended,0.2,"[-46.48476314544678, -18.3461856842041, -30.004261016845703, -35.95817565917969]",1,2,0.99869186,0.0,2.035,0.0,2.814,B,C,False
4,SATACT,"Which finding, if true, would most directly support Armijo’s hypothesis?",The temperature inside the roasting drum is distributed more evenly when roasting green chiles with solar power than with propane.,Attempts to roast green chiles using 50 heliostats yields results in fewer than six minutes.,Green chile connoisseurs prefer the flavor of solar-roasted green chiles over the flavor of propane-roasted green chiles.,The skins of solar-roasted green chiles are easier to peel than the skins of propane-roasted green chiles.,0.2,"[-65.92853552942688, -56.21290516285808, -47.194009581027785, -40.41148224589415]",3,1,0.86511564,1.0,1.919,0.0,2.552,D,A,False
5,SATACT,What does the text indicate about the geological formation at Mistaken Point?,It holds a greater number of fossils but from a smaller variety of species than the formation in the Minatogawa quarry does.,It has provided evidence that the earliest human species may have emerged before the Pleistocene era.,It is widely considered by paleontologists to be the most valuable source of information about prehistoric life forms.,It contains specimens from an older time period than those found in the formation in the Minatogawa quarry.,0.2,"[-72.36499100015499, -61.38024108920945, -55.16627108119428, -55.55268186633475]",2,3,0.85533494,1.0,1.389,0.0,1.72,C,B,False
6,SATACT,Which choice completes the text with the most logical and precise word or phrase?,an imaginative,a superficial,an exhaustive,a questionable,0.2,"[-21.82584857940674, -20.37562370300293, -20.132800102233887, -20.520203590393066]",2,2,1.0,1.0,0.131,0.0,0.169,C,B,False
7,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,varied:,"varied,","varied, while",varied while,0.2,"[-37.0829496383667, -36.372944593429565, -42.74500918388367, -41.685736656188965]",1,0,0.90651804,0.0,0.556,1.0,0.637,B,C,False
8,SATACT,Which choice most logically completes the text?,aspects of the declaration were modeled on similar documents from other countries.,the French government may have been surprised by the declaration.,many Haitian people opposed the revolution and the declaration.,the declaration actually had several intended audiences.,0.2,"[-57.353103905916214, -41.265027076005936, -41.500096797943115, -44.76230204105377]",1,3,0.8871391,1.0,1.315,0.0,1.609,B,C,False
9,SATACT,The main point of this passage is to:,illustrate the importance of genetics in the formation of a baby's brain.,illustrate the importance of stimulation and experience in the formation of a baby's brain.,indicate the great need for conducting further research on babies' brains.,compare the latest research on babies' brains with similar research conducted fifteen years ago.,0.2,"[-76.49003109522164, -77.87536709755659, -71.9076512157917, -71.60042038559914]",3,1,0.8878643,1.0,0.552,1.0,0.627,D,A,False
10,SATACT,"According to the text, what is true about Dorian?",He wants to know Hallward’s opinion of the portrait.,He is delighted by what he sees in the portrait.,He prefers portraits to other types of paintings.,He is uncertain of Hallward’s talent as an artist.,0.2,"[-37.84635256836191, -26.745645403862, -38.919736398383975, -51.24705173657276]",1,1,1.0,1.0,1.735,0.0,2.45,B,C,False
11,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,flew,were flying,had flown,fly,0.32,"[-35.755412101745605, -23.743099212646484, -24.972805976867676, -15.648967742919922]",3,3,1.0000002,0.0,1.431,0.0,2.011,D,A,False
12,SATACT,Which choice most logically completes the text?,it can’t be concluded that the impact that made the crater was connected to the beginning of the Younger Dryas.,it can’t be determined whether a comet fragment could make a crater as large as 19 miles wide.,scientists have ignored the possibility that something other than a comet fragment could have made the crater.,the scientists who believe an impact caused the Younger Dryas have made incorrect assumptions about when the period began.,0.32,"[-63.88975157495588, -59.21960353432223, -73.00441915448755, -50.15385790128494]",3,0,0.89328855,1.0,1.649,1.0,2.285,D,A,False
13,SATACT,"The Mule Bone, a 1930 play written by Zora Neale Hurston and Langston Hughes, is perhaps the best-known of the few examples of in literature. Most writers prefer working alone, and given that working together cost Hurston and Hughes their friendship, it is not hard to see why. Which choice completes the text with the most logical and precise word or phrase?",characterization,interpretation,collaboration,commercialization,0.32,"[-34.37002372741699, -32.441781997680664, -54.61137008666992, -22.899866580963135]",3,2,0.8668725,0.0,2.309,0.0,3.171,D,A,False
14,SATACT,The student wants to emphasize how Romney wool differs from Merino and Rambouillet wool. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Romney wool is just one of the many kinds of wools, each originating from a different breed of sheep.","Sheep wool varies from breed to breed, so Romney wool will be different than other kinds of wool.","The fine wool produced by Merino and Rambouillet sheep is used for apparel, whereas the thicker wool of Romney sheep is used in rugs and blankets.",Wool is an economically important fiber—especially in Australia—that can be used to make apparel or even rugs and blankets.,0.32,"[-56.7567867860198, -72.65426998911425, -46.0635706934263, -74.43886709643994]",2,2,1.0000001,1.0,2.343,1.0,2.838,C,B,False
15,SATACT,"Which choice best states the function of the portion in the text, “Before the discovery, Denisovans were thought to have lived only at high altitudes in relatively cold climates in what are now Russia and China” as a whole?",It dismisses as untrue the research presented in the previous sentence.,It defines a term used in the description that follows in the rest of the sentence.,It emphasizes the main goal of the research introduced in the previous sentence.,It provides context that clarifies the significance of the information that follows in the rest of the sentence.,0.32,"[-54.478024531155825, -62.2698794179596, -56.420364767313, -63.158916626125574]",0,3,0.8921633,1.0,0.742,0.0,0.868,A,D,False
16,SATACT,Which choice completes the text with the most logical and precise word or phrase?,uncertainty about,indicator of,motivation for,criticism of,0.32,"[-57.8318567276001, -35.84577035903931, -42.10599374771118, -37.832558035850525]",1,1,0.9999999,0.0,1.726,0.0,2.199,B,C,False
17,SATACT,Which choice completes the text with the most logical transition?,"Specifically,","Next,","For instance,","In sum,",0.32,"[-13.420273914933205, -10.767469942569733, -12.77359140664339, -16.519109696149826]",1,1,1.0,0.0,0.413,1.0,0.575,B,C,False
18,SATACT,Which quotation from “The Young Girl” most effectively illustrates the claim?,"“I heard her murmur, ‘I can’t bear flowers on a table.’ They had evidently been giving her intense pain, for she positively closed her eyes as I moved them away.”","“While we waited she took out a little, gold powder-box with a mirror in the lid, shook the poor little puff as though she loathed it, and dabbed her lovely nose.”","""I saw, after that, she couldn’t stand this place a moment longer, and, indeed, she jumped up and turned away while I went through the vulgar act of paying for the tea.”",“She didn’t even take her gloves off. She lowered her eyes and drummed on the table. When a faint violin sounded she winced and bit her lip again. Silence.”,0.32,"[-176.91715483175358, -168.14167316560633, -153.67362333455821, -147.30371408787323]",3,1,0.86218035,1.0,2.334,0.0,2.961,D,A,False
19,SATACT,Which choice most logically completes the text?,many young people think they can volunteer only within their own communities.,volunteering may be even more helpful than many young people think it is.,volunteering can help society overall more than it can help individual people.,many young people may not know how to find ways to volunteer their time.,0.32,"[-48.67856438457966, -82.12578938156366, -70.88988649845123, -49.491569459438324]",0,1,0.8765936,0.0,2.856,0.0,3.345,A,D,False
20,SATACT,The student wants to emphasize a difference between the two portraits. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"The portraits, or artistic representations, of Luis Jimenez and Rudolfo Anaya were both completed by Enriquez in the early 2000s.","Enriquez has completed portraits of numerous Mexican Americans, including sculptor Luis Jimenez and writer Rudolfo Anaya.","While both are by Enriquez, the 2003 portrait of Luis Jimenez is a painting, and the 2016 portrait of Rudolfo Anaya is a drawing.","Luis Jimenez was a Mexican American sculptor, and Rudolfo Anaya was a Mexican American writer.",0.32,"[-61.309156660485314, -39.715637572313426, -59.827730541379424, -45.00908535113558]",1,2,0.8937863,1.0,1.862,1.0,2.159,B,C,False
21,SATACT,Which choice completes the text with the most logical transition?,"Instead,","For instance,","Specifically,","In addition,",0.32,"[-15.814576148986816, -14.31203331798315, -14.96322637796402, -14.491525828838348]",1,3,0.90564764,0.0,0.116,0.0,0.15,B,C,False
22,SATACT,"Which choice best describes the function of this ""[Uncle Katsuhisa] was as loud as my father was quiet. "" portion of the sentence?",It lists the kinds of topics Uncle Katsuhisa enjoys discussing.,It suggests that Uncle Katsuhisa dislikes meeting new people.,It contrasts Uncle Katsuhisa with the narrator's father.,It describes a conversation between the narrator and the narrator's father.,0.32,"[-50.0465752229793, -42.13133258197922, -38.67062306578737, -38.92297115176916]",2,2,1.0,1.0,0.919,1.0,1.138,C,B,False
23,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,"carbon-13, (13C)",carbon-13 (13C),"carbon-13, (13C),","carbon-13 (13C),",0.32,"[-29.25373136997223, -23.51142057776451, -29.598670661449432, -24.669127821922302]",1,3,0.985046,0.0,0.54,0.0,0.609,B,C,False
24,SATACT,The student wants to explain what a quenched galaxy is. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Before quenching, a starburst galaxy will form stars at a rapid rate.","When it becomes quenched, a starburst galaxy enters the poststarburst phase.","Having entered the poststarburst phase, a quenched galaxy is one that no longer forms stars.",A starburst galaxy will lose star-forming gas and eventually become quenched.,0.32,"[-42.02457448653877, -43.554838300682604, -37.8253917878028, -34.124229389824905]",3,2,0.8997458,1.0,0.738,1.0,0.943,D,A,False
200,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,is vowing,vowed,will vow,vows,0.32,"[-25.96420907974243, -31.09201145172119, -23.99478244781494, -31.621493339538574]",2,1,0.891699,0.25,0.654,0.0,0.763,C,B,False
201,SATACT,Which choice completes the text with the most logical and precise word or phrase?,unobtrusive,concealed,approximate,peripheral,0.32,"[-31.531455874443054, -49.65834712982178, -54.15384101867676, -51.53411865234375]",0,3,0.8051235,0.0,1.783,0.0,2.262,A,D,False
202,SATACT,"Given that all of the choices are true, which one, replacing the phrase ""is often used by marine biologists."", provides information that is relevant and that makes the rest of Paragraph 3 understandable?",NO CHANGE,had a specimen bottle attached to its smaller end.,was woven from cotton and nylon material.,was shaped like a geometric figure.,0.32,"[-22.35323941707611, -59.68483564257622, -52.15628433227539, -38.648443043231964]",0,1,0.79525596,0.75,2.841,0.0,3.733,A,D,False
203,SATACT,Which choice completes the text with the most logical and precise word or phrase?,thoughtfulness,esteem,controversy,sincerity,0.32,"[-22.301772117614746, -17.426591873168945, -46.89920997619629, -26.95911693572998]",1,1,1.0,0.0,2.24,0.0,2.947,B,C,False
204,SATACT,The student wants to emphasize a difference between the MexiCali Biennial and traditional biennials. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"In 2006, artists Ed Gomez and Luis Hernandez founded the MexiCali Biennial, which has taken place in 2006, 2009–10, 2013, and 2018–20.","Unlike traditional biennials, the MexiCali Biennial hosts exhibitions in different venues on an uneven schedule.","The term biennial traditionally refers to an art exhibition that takes place every two years in a single location, not to exhibitions hosted at a variety of times and venues.","Biennial exhibitions have been held in New York, Berlin, and Venice but also on both sides of the US-Mexico border.",0.32,"[-35.431005905382335, -40.9298237998737, -61.05128773255274, -50.08846757467836]",0,1,0.8674952,1.0,1.943,1.0,2.562,A,D,False
