id,dataset,question,option_0,option_1,option_2,option_3,probing_accuracy,logits,prediction,gold,bertscore_f1,heuristic_dependence_score,reasoning_score,context_fidelity_score,shap_score,contrastive_prediction_original,contrastive_prediction_swapped,contrastive_robust
1264,RACE-H,Bernard Jackson was found guilty and sentenced 5 years' prison because   _   .,the victims insisted that he was the attacker,he admitted the crime of raping two women,the police discovered evidence leading to his guilt,the eyewitness proved the victims' testimony,0.48,"[-25.805290311574936, -23.370005816221237, -35.5605987906456, -33.45525163412094]",1,0,0.88572675,0.5,1.018,0.0,1.219,B,C,False
1265,RACE-H,The following statements may be the reasons for why sometimes the eyewitness' testimony is not accurate EXCEPT    _   .,the eyewitness is confused by the police's questions,the eyewitness is shown photos of many similar faces,the eyewitness lacks the professional help from police,the eyewitness can't identify people of other races clearly.,0.48,"[-34.52516931295395, -39.50649827718735, -47.57150101661682, -46.6149595528841]",0,2,0.91643053,1.0,1.07,0.0,1.305,A,D,False
1266,RACE-H,An inaccurate eyewitness testimony may lead to   _   .,the misunderstanding of the case,the disbelief in the court,the disrespect for the eyewitness,the conviction of an innocent person,0.48,"[-18.5041344165802, -24.72517430782318, -25.72951379418373, -10.445803404785693]",3,3,1.0,0.75,1.219,0.0,1.528,D,A,False
1267,RACE-H,Eyewitness testimony is important because    _   .,it can be relied on to detect criminals in all cases.,it is sometimes the only way to resolve court cases.,it is sometimes the only clue for police investigation.,it is more reliable than physical evidences to a crime.,0.48,"[-42.845448195934296, -26.23596017062664, -36.074004270136356, -37.39006143063307]",1,1,1.0,1.0,1.198,0.0,1.661,B,C,False
1268,RACE-H,"According to the text, we can infer that    _   .","eyewitness testimony is valuable, though sometimes incorrect.",police identification is more reliable than that of the ordinary people,crime victims often fail to give positive identification of the suspects,the jury relies on the judge than the eyewitness for a decision,0.48,"[-46.305986523628235, -35.69761906564236, -44.41915913671255, -47.920586079359055]",1,0,0.8872371,0.75,0.944,0.0,1.222,B,C,False
1269,RACE-H,What do most people worry about the Internet according to this passage?,A lot of stolen credit-cards were sold on the Internet.,Fraud on the Internet.,Many Web sites are destroyed.,Many illegal Web sites are on the Internet.,0.48,"[-31.79153099656105, -37.75230470299721, -32.91762398183346, -31.44231964275241]",3,1,0.91247255,0.75,0.506,1.0,0.631,D,A,False
1270,RACE-H,"What is the meaning of ""fraud""?",Cheating.,Sale.,Payment.,Safety.,0.48,"[-16.326906949281693, -30.430076360702515, -35.617483139038086, -19.583792686462402]",0,0,0.9999999,0.0,1.568,0.0,1.929,A,D,False
1271,RACE-H,How can the thieves get the information of the credit card?,The customers give them the information.,The thieves steal the information from Web sites.,The customers sell the information to them.,The thieves buy the information from credit-card firms.,0.48,"[-29.76817500591278, -26.11526483297348, -35.52078437805176, -27.63808440975845]",1,1,1.0,1.0,0.714,1.0,0.941,B,C,False
1272,RACE-H,How many pieces of advice does the passage give to you?,Four.,Three.,Five.,Six.,0.48,"[-15.644908785820007, -15.040663719177246, -16.350993633270264, -16.46387553215027]",1,0,0.99940515,0.0,0.115,0.0,0.142,B,C,False
1273,RACE-H,"You are shopping on the site: http: // www. Shopping. com, and you want to buy a TV set, what does this article suggest to do?",Order the TV set at once.,Do not buy the TV set on this site.,E-mail the site your credit-card information.,Tell the site your password and buy the TV set for you.,0.48,"[-27.45798146724701, -25.323330998420715, -24.81206540390849, -44.548015117645264]",2,1,0.84955305,1.0,1.63,1.0,1.974,C,B,False
1274,RACE-H,"With an EZ-Link card, you can take_.",only trains,both buses and trains,only rental cars,both buses and taxis,0.48,"[-15.448899745941162, -13.404922150075436, -17.23179131746292, -16.603547804057598]",1,1,1.0,0.0,0.291,0.0,0.383,B,C,False
150,RACE-H,Who have the same opinion on expensive brands?,Alexandra & Daniel,Emmy & Edmund.,Emmy & Alexandra.,Daniel & Emmy.,0.24,"[-53.674179553985596, -55.45741033554077, -47.4428973197937, -29.558562755584717]",3,2,0.9136722,0.0,2.048,0.0,2.59,D,A,False
151,RACE-H,What does Edmund think of expensive brands?,They are not worth the price.,They make him feel confident.,They need to improve their quality.,They pay too much attention to personal likes.,0.24,"[-25.40152406692505, -23.5761648863554, -29.932456344366074, -47.46860499307513]",1,0,0.879444,0.0,1.89,1.0,2.389,B,C,False
152,RACE-H,The text is mainly about   _  .,how to buy things reasonably,the competition between brands,the different values of teenagers,whether expensive brands are worth high prices,0.24,"[-24.00287890434265, -19.901310086250305, -30.092970848083496, -27.693756371736526]",1,3,0.88439846,0.5,0.771,0.0,1.019,B,C,False
153,RACE-H,"According to the report, how many countries will lack water by the year 2025?",More than eighteen,About twenty-eight,Less than forty,At least forty-six,0.24,"[-17.760507345199585, -14.922625333070755, -18.264915987849236, -20.179353773593903]",1,3,0.90410364,0.25,0.376,1.0,0.526,B,C,False
154,RACE-H,_    million will lack water by the year 2025?,335,"3,000","3,305",355,0.24,"[-14.984757423400879, -11.161808133125305, -16.62567639350891, -15.89026927947998]",1,1,1.0000002,0.0,0.421,0.0,0.546,B,C,False
155,RACE-H,Which of the following is NOT true according to the passage?,The amount of the water on earth will always stay the same.,The report gives three solutions to water problem.,M ost of the countries that lack water belong to the developing ones.,"There's only one long-term solution to solve the water problem, that is we must try our best to control the population growth.",0.24,"[-37.172004507272504, -31.72559690475464, -48.495375011116266, -65.6823186147958]",1,3,0.8887581,1.0,2.598,1.0,3.396,B,C,False
156,RACE-H,The passage mainly tells us that   _   .,water is very important for any people,PAI did a lot of study about water shortage,water shortage will be a serious problem facing us in the near future,controlling the population is the best way to solve the problem of water shortage,0.24,"[-25.746480584144592, -38.569025203585625, -32.92534325644374, -45.45149305462837]",0,2,0.86090696,0.75,1.449,0.0,1.971,A,D,False
157,RACE-H,John wanted to stop his job in his company because  _  .,Bobby was promoted but he was not,he didn't want to say good words of his boss,he thought the boss didn't take his hard work seriously,he didn't want to be an ordinary employee,0.24,"[-43.76710617542267, -23.813780684024096, -27.736834893003106, -18.21590119227767]",3,2,0.87481403,0.75,1.901,0.0,2.555,D,A,False
158,RACE-H,The boss asked John to find out where watermelons were sold in order to   _  .,persuade him to stay in the company,prove he was a hardworking worker,buy some watermelons for the company,prove his abilities at work for himself,0.24,"[-44.665482729673386, -36.87281358242035, -19.96836278832052, -52.7967072725296]",2,3,0.84750056,1.0,2.426,0.0,3.283,C,B,False
159,RACE-H,"From what Bobby did, we can see that he was promoted only because   _  .",he was a more concerned businessman,he knew how to do business,he was more experienced at work,he knew details about the watermelon market,0.24,"[-27.370102524757385, -19.824030473828316, -24.899741649627686, -28.99137258529663]",1,0,0.8813157,1.0,0.693,0.0,0.917,B,C,False
160,RACE-H,We can conclude from the story that   _  .,one should stop his job if the boss doesn't think much of his work,it's necessary to know the market when you buy a watermelon,detail plays a very important part in one's success,one should get along well with his boss if he wants to be promoted,0.24,"[-52.60794496536255, -45.53058011084795, -33.721039205789566, -41.72320834547281]",2,2,1.0,1.0,1.363,0.0,1.889,C,B,False
161,RACE-H,What can be the best title of the passage?,"More Concerned, More Successful",How to Buy Watermelons,Who Is More Successful,Proud John,0.24,"[-36.08657704293728, -26.914179361687275, -25.992830377770588, -42.03401851654053]",2,0,0.9168467,0.0,1.331,0.0,1.604,C,B,False
162,RACE-H,What is the article mainly about?,The importance of having personal goals.,Tips on achieving your personal goals.,Studies on why people tend to keep their personal goals secret.,Why it's not necessarily wise to announce your personal goals to others.,0.24,"[-24.73534470796585, -25.820510268211365, -40.290338188409805, -40.40689813345671]",0,3,0.9103722,0.25,1.509,0.0,1.567,A,D,False
163,RACE-H,"According to the article, when you tell your friends your goals,   _  .",you feel more pressure to try to make them happen,they feel jealous of your satisfaction and stand in your way,you make yourself believe that you are close to achieving them,it becomes easier for you to make them come true thanks to the support of others,0.24,"[-33.66315174102783, -41.22558023408055, -25.7843776345253, -56.57671191543341]",2,2,1.0,1.0,2.273,0.0,3.079,C,B,False
164,RACE-H,What did Peter Gollwitzer find in his tests?,Writing down personal goals inspired people to work hard to achieve them.,Those who didn't tell others their goals were more likely to achieve them.,Those who kept working hard tended to feel that they were closer to realizing their goals.,Those who made their goals public worked harder than those who kept them secret.,0.24,"[-35.86597586236894, -28.581505040696356, -51.05076588690281, -31.34853382408619]",1,1,1.0000001,0.0,1.735,0.0,2.247,B,C,False
165,RACE-H,The press conference must have been held   _  .,in Hong Kong,in Europe,in Beijing,in England,0.24,"[-11.625211875885725, -18.158991813659668, -12.631296157836914, -19.009089469909668]",0,2,0.9227112,0.0,0.652,1.0,0.738,A,D,False
166,RACE-H,"According to the text, we do NOT have any information about   _  .",who will perform on stage,what programmes there will be,when the 32nd Art Festival will be held,which theatres will put on performances,0.24,"[-21.717981457710266, -25.42539330199361, -24.887565456330776, -31.127970385365188]",0,3,0.9087865,0.75,0.678,0.0,0.941,A,D,False
167,RACE-H,The main purpose in writing this text is   _  .,to make the 32nd Art Festival known,to announce the plan of the art festival,to introduce the cost of the art festival,to sell a service during the art festival,0.24,"[-34.33955766260624, -28.141129102557898, -31.603015057742596, -40.69996640831232]",1,0,0.919595,1.0,0.92,0.0,1.256,B,C,False
168,RACE-H,Who are the intended readers of the passage?,Teachers,Students,Workers,People in general,0.24,"[-35.53271293640137, -14.304353713989258, -31.393271446228027, -17.775546073913574]",1,1,0.9999999,0.25,1.784,0.0,2.123,B,C,False
169,RACE-H,Which of the following is NOT mentioned in the passage?,Planning your schedule for the next day the night before.,Getting into the habit of self-praising with goals achieved.,Rising early to get ready for your day with positive energy.,Trying something new to learn from it to stretch your limits.,0.24,"[-56.168104495853186, -60.416128320619464, -60.00928843021393, -65.02218133211136]",0,2,0.8786565,0.5,0.628,1.0,0.885,A,D,False
170,RACE-H,What would be the best title for the passage?,How to make the most of your day,How to lead a happy and satisfying life,Act now without delay to change your life,Spare time to focus on daily responsibilities,0.24,"[-24.604709833860397, -31.10015954822302, -34.046402990818024, -39.94120255112648]",0,0,0.9999999,0.5,1.105,0.0,1.534,A,D,False
171,RACE-H,Which of the following words can be used to describe Peitersen?,Independent.,Creative.,Sensitive.,Cautious.,0.24,"[-15.687350749969482, -35.78566789627075, -25.774200916290283, -13.831930765649304]",3,1,0.905154,0.0,1.756,0.0,2.195,D,A,False
172,RACE-H,Some job-seekers are willing to put themselves in the windows to display in that   _  .,they think it is fashionable,their parents ask them to,it's increasingly difficult to get hired,they find it's interesting,0.24,"[-28.819340229034424, -31.47286981344223, -30.52263355255127, -28.39203190803528]",3,2,0.86588013,0.75,0.25,1.0,0.308,D,A,False
173,RACE-H,It can be Inferred that   _  .,no companies show interest in the qualified job-seekers in the windows,both local and international media don't agree with the campaign,human resource managers have to reply to hundreds of applicants,to some degree the window displays help people find jobs,0.24,"[-38.58428671956062, -34.99792870134115, -34.769300043582916, -35.0672310590744]",2,3,0.8627988,0.25,0.316,0.0,0.381,C,B,False
174,RACE-H,What is the text mainly about?,Job-seekers are displayed in the windows hoping to get hired.,The rate of unemployment in Europe has recently become hitter.,It is hard for qualified professionals to get a job.,Denmark has avoided economic problems due to its low public debt.,0.24,"[-40.88404729962349, -52.07068634033203, -32.65605403482914, -53.581257646903396]",2,0,0.8879344,0.75,1.711,0.0,2.093,C,B,False
1125,RACE-H,Which of the following might be the best title to the passage?,Don't give up,He who laughs last laughs the hardest,Zac Efron's life story,Zac Effort's success in musical film,0.52,"[-20.386694259941578, -17.58832035586238, -38.207459327648394, -76.78557062149048]",1,1,1.0,0.5,4.723,1.0,5.92,B,C,False
1126,RACE-H,What did Zac Efron do when he was laughed at?,"He couldn't accept the fact in the beginning, so he escaped.",He was so angry that he shouted at the person who teased him.,He cried and told the whole matter to his father to get comfort.,He cheered himself up and used it as motivation to move on.,0.52,"[-55.90583908028202, -37.56605313718319, -62.388020038604736, -36.342277120798826]",3,3,1.0,1.0,2.268,1.0,2.605,D,A,False
1127,RACE-H,Which of the following is True according to the passage?,Zac Efron was laughed at because he was the most foolish guy in the class,Zac Efron is promoting his fourth High School Musical film in the world.,He once helped the other team win a match when he was playing basketball.,"In his growing process to be a famous actor, his mother played a key part.",0.52,"[-68.4040343692759, -60.7521781536052, -56.681201219558716, -70.65003049373627]",2,2,1.0,1.0,1.13,0.0,1.397,C,B,False
1128,RACE-H,The best way to know about a college in an official campus tour is  _  .,to walk around the campus alone,to take pictures of the campus,to visit the oldest and prettiest buildings,to hire a tour guide,0.52,"[-20.279042571783066, -21.512248933315277, -32.132300111465156, -17.20448887348175]",3,0,0.89156455,1.0,1.124,0.0,1.493,D,A,False
1129,RACE-H,Reading the bulletin boards can help you  _  .,decide the major you want to study,find out the after-class activities on campus,get free coupons from the admission offices,find out the options of healthy food,0.52,"[-35.966202557086945, -30.82888013124466, -31.012933492660522, -35.22843533754349]",1,1,1.0,1.0,0.471,1.0,0.514,B,C,False
1130,RACE-H,"If you plan to attend a class on campus,  _  .",drop in on a class in your major,have talks with the students in the class,make an appointment in advance,ask how the students like their teachers and majors,0.52,"[-16.08915238082409, -25.6434129178524, -15.821743328124285, -34.70293927192688]",2,2,0.99999994,0.75,1.56,0.0,1.888,C,B,False
1131,RACE-H,"To get a real idea of the college during a visit, it's best to talk to  _  .",famous professors,campus tour guides,admission officers,random students,0.52,"[-16.065348625183105, -13.191447377204895, -23.603437900543213, -12.544474303722382]",3,3,1.0000002,0.0,0.878,0.0,1.106,D,A,False
1132,RACE-H,Where does the passage probably come from?,A news report,A tourist poster.,An educational journal.,A geographical magazine.,0.52,"[-16.034108996391296, -27.317610502243042, -20.836329460144043, -28.094302654266357]",0,2,0.83653563,0.75,0.989,0.0,1.206,A,D,False
1133,RACE-H,The old man's attitude towards life is  _  .,unusual,negative,optimistic,pessimistic,0.52,"[-24.081759452819824, -12.02797794342041, -25.231365203857422, -36.37846851348877]",1,2,0.9238798,0.0,1.724,0.0,2.435,B,C,False
1134,RACE-H,The author began his talk with the old man  _  .,when he stood by the window,because the old man wanted to,because he was interested in how to say to say goodbye,when he sat around thinking about saying goodbye.,0.52,"[-22.428221076726913, -21.53056648746133, -43.99857045710087, -42.02680751681328]",1,1,1.0,1.0,2.109,0.0,2.247,B,C,False
1135,RACE-H,From the passage we know that  _  .,the young man is a writer,the talk between the two men is common,the daughter lives far away from her daddy,the young man is interested in the old man,0.52,"[-24.18813931941986, -35.549741983413696, -29.135466754436493, -31.272954251617193]",0,2,0.877402,1.0,0.818,0.0,1.136,A,D,False
1136,RACE-H,What's the most probable title of the passage?,a talk between two men,an interview,your attitude to your life,I wish you enough,0.52,"[-29.995792388916016, -21.035255432128906, -35.50089919567108, -11.991952687501907]",3,3,0.9999999,0.5,1.788,1.0,2.351,D,A,False
1137,RACE-H,"According to the analysis, compared with normal children today, children treated as mentally ill 50 years ago   _  .",probably suffered less from anxiety,were considered less individualistic,were less isolated physically,were probably less selfcentered,0.52,"[-22.25540041923523, -25.25959325581789, -25.297166347503662, -34.066887617111206]",0,0,1.0,0.0,0.884,1.0,1.181,A,D,False
1138,RACE-H,The author thinks that the conclusions of any research about people's state of mind are   _  .,illogical,confusing,surprising,questionable,0.52,"[-13.53524112701416, -26.80535316467285, -27.51885986328125, -20.624900817871094]",0,3,0.8430227,0.0,1.127,0.0,1.398,A,D,False
1139,RACE-H,Which of the following statements is TRUE according to the passage?,"To children, anxiety is completely avoidable.",TV and computer play an important role in isolating children from the real world.,Exercise does not help to lessen children's anxiety.,Sometimes local news about crime and murder also affects children a little.,0.52,"[-44.63283944223076, -44.35871900944039, -57.962786093354225, -68.03331863880157]",1,1,1.0,1.0,1.983,1.0,2.367,B,C,False
1140,RACE-H,The first and most important thing parents should do to help their children is  _  .,to lower their expectations for them,to set a good model for them to follow,to get them more involved socially,to improve them with a safer environment,0.52,"[-19.530914276838303, -26.70094856619835, -30.817877531051636, -41.350948095321655]",0,2,0.88671046,1.0,1.579,0.0,2.182,A,D,False
1141,RACE-H,What FAO official Hafez Ghanem says implies   _,it's easy but takes long to provide people with enough food,enough food can make people more active and healthier,there is difficulty solving the food shortage in a short time,people in developing countries will never get enough food,0.52,"[-53.076520383358, -35.312943816185, -47.609730303287506, -26.529034435749054]",3,2,0.8700722,0.25,2.075,0.0,2.655,D,A,False
1142,RACE-H,Ghana has reached the targets of hunger reduction mainly because of   _  .,the still high food prices,the donation of developed countries,the two targets of hunger reduction,the growth in agricultural production,0.52,"[-17.806311577558517, -26.637982070446014, -25.895404525101185, -6.877218760550022]",3,3,1.0000002,1.0,1.593,0.0,1.976,D,A,False
1143,RACE-H,Which country has not made progress in hunger reduction?,North Korea,Thailand,Vietnam,Ghana,0.52,"[-11.101511388551444, -32.393943786621094, -54.09291458129883, -34.70280170440674]",0,0,1.0,0.0,3.046,0.0,4.299,A,D,False
1144,RACE-H,What is the best title of this passage?,The food production of the world,The hunger reduction target of the FAO,The food shortage around the world,The solution to the global food shortage,0.52,"[-23.693570613861084, -26.546991913113743, -25.796481408178806, -26.16307842731476]",0,2,0.9372293,1.0,0.221,0.0,0.285,A,D,False
1145,RACE-H,Which of the four movies is the least popular with people?,The 1st one.,The 2nd one.,The 3rd one.,The 4th one.,0.52,"[-19.80463820695877, -20.70355373620987, -19.945435762405396, -20.01838853955269]",0,1,0.9645704,1.0,0.069,1.0,0.09,A,D,False
1146,RACE-H,A thriller is most probably a film which tells something   _  .,instructive,frightening,humorous,interesting,0.52,"[-25.727684751152992, -40.259408950805664, -34.14617729187012, -13.347553253173828]",3,1,0.998953,0.0,2.018,0.0,2.691,D,A,False
1147,RACE-H,Which of the following is the best title for the fourth film?,A Hard-working Trick Driver,Medicine,A Strange Illness,Twelve Hours,0.52,"[-33.418646931648254, -33.75192737579346, -24.85094490647316, -37.76332354545593]",2,3,0.8501452,0.0,0.941,0.0,1.291,C,B,False
1148,RACE-H,Where were Everett and Mr. Hanson talking?,In the city hall.,Outside a park.,Near the parking lot.,In the art centre.,0.52,"[-19.99767804145813, -22.608101844787598, -19.689401011914015, -20.87803089618683]",2,2,1.0,0.75,0.227,0.0,0.292,C,B,False
1149,RACE-H,Everett was trying to persuade Mr. Hanson to   _  .,beautify the neighbourhood,provide money for a skateboard park,build an art centre for children,cut the area of the parking lot,0.52,"[-15.537519650533795, -30.901236766949296, -26.156336188316345, -27.608264658600092]",0,1,0.8666601,0.5,1.151,0.0,1.536,A,D,False
1025,RACE-H,The main purpose of the passage is to   _  .,argue and discuss,inform and explain,compare and advertise,examine and assess,0.24,"[-35.35958194732666, -28.04130792617798, -35.259596824645996, -34.738975524902344]",1,1,1.0,0.0,0.615,0.0,0.732,B,C,False
1026,RACE-H,Which of the following statements is NOT true according to the passage?,Violent crimes are closely related to aggressive characters.,People are sometimes easily annoyed by small things.,Many people fail to carry out a meditation method.,Meditation can cure people of many illnesses.,0.24,"[-63.246531426906586, -39.15861487388611, -34.91079133749008, -52.81974375247955]",2,3,0.87972623,0.75,2.246,1.0,2.834,C,B,False
1027,RACE-H,What's the purpose of the passage?,To advertise a website.,To attract some talents.,To introduce a radio station.,To introduce a company.,0.24,"[-31.138938188552856, -31.612947940826416, -34.66277277469635, -28.3815860748291]",3,1,0.9043575,0.75,0.446,1.0,0.628,D,A,False
1028,RACE-H,"To apply for the positions above, one must  _  .",work long hours,have related working experience,have team spirit,live in English-speaking countries,0.24,"[-17.796771854162216, -25.63313914835453, -21.305063664913177, -22.462235278449953]",0,1,0.85566604,0.0,0.56,0.0,0.784,A,D,False
1029,RACE-H,Which of the following positions require irregular work hours?,Video reporters&News presenters,News presenters&Biz News Reporter,Biz News Reporter&Copyeditors,Copyeditors&Music DJs,0.24,"[-30.240291122347116, -29.37845646031201, -29.097585812211037, -27.95323607325554]",3,2,0.8693073,0.0,0.164,1.0,0.229,D,A,False
1030,RACE-H,Why did the author go to the hospital with his friend?,To find free medical treatment for his friend.,To have his friend admitted into the hospital.,To pay the expenses of treatment for his friend.,To keep him company during the operation.,0.24,"[-27.324850380420685, -31.906561017036438, -29.25199881196022, -27.82281368970871]",0,1,0.92580205,1.0,0.356,1.0,0.458,A,D,False
1031,RACE-H,Which of the following words can be used to describe the author?,Warm - hearted.,Adventurous.,Open-minded.,Clever.,0.24,"[-49.298529863357544, -35.99409010913223, -17.029163792729378, -37.280301332473755]",2,0,0.9343123,0.0,2.31,0.0,3.227,C,B,False
1032,RACE-H,What does the author intend to tell us by sharing his story?,We should not judge a person by his look.,Trouble can put one's qualities to the test.,True friends should share in joys and sorrows alike.,We can't depend on friends when in trouble.,0.24,"[-36.82690954208374, -85.00502195954323, -50.07127706054598, -38.05027860403061]",0,2,0.8627963,1.0,3.895,0.0,4.818,A,D,False
1033,RACE-H,"To make sure that the device runs smoothly,  _  .",the user should be equipped with other related units,the device should be improved through experiments,the user shouldn't be physically handicapped,the device should be smaller and lighter,0.24,"[-45.50707625411451, -33.09843552112579, -33.1781698751729, -26.077279955148697]",3,0,0.86743087,1.0,1.399,0.0,1.943,D,A,False
1034,RACE-H,What is the special feature of the device according to the passage?,It helps its user run faster.,It helps save physical strength.,It adds more fun to running.,It helps its user keep a good shape.,0.24,"[-19.81641697883606, -27.00680708885193, -24.61256229877472, -34.268561124801636]",0,1,0.9106356,0.5,1.043,0.0,1.445,A,D,False
1035,RACE-H,"In the author's opinion, the device  _  .",should specially serve the disabled,won't be popular with people at all,does harm to its user's health,may not sell as well as expected,0.24,"[-29.538487672805786, -28.854986832477152, -32.09787702560425, -25.152369245886803]",3,3,1.0000002,0.25,0.497,0.0,0.695,D,A,False
1036,RACE-H,Which of the following aspects of the device is NOT mentioned in the passage?,Its advantages.,Its components.,Its weight.,Its price.,0.24,"[-21.510786056518555, -21.25662612915039, -16.332260608673096, -15.591316223144531]",3,3,1.0,0.0,0.545,1.0,0.592,D,A,False
1037,RACE-H,In which column of a newspaper would this passage be found?,Science.,Health.,Education.,Business.,0.24,"[-13.444926738739014, -14.485071659088135, -16.16657781600952, -15.892181396484375]",0,0,1.0,0.0,0.22,1.0,0.272,A,D,False
1038,RACE-H,"Before visiting the friends, Jack   _  .",didn't like chocolate,couldn't eat by himself,was sometimes rude to his mom,preferred his mother to his father,0.24,"[-20.499505998101085, -31.630385780357756, -25.359079122543335, -38.657762974500656]",0,2,0.86340636,0.0,1.363,0.0,1.816,A,D,False
1039,RACE-H,"After visiting the friends, the author   _  .",was determined to learn to cook,asked her husband to have every meal with her,decided to have dinner together with her family,was advised by her husband to learn from the friends,0.24,"[-31.286133855581284, -50.7178829908371, -44.916199415922165, -43.15028840303421]",0,3,0.8922501,0.25,1.413,0.0,1.943,A,D,False
1040,RACE-H,The passage is mainly about   _   .,how to be a qualified father,the growth and development of both fathers and children,the father's role in the growth and development of children,the changing of the father's role in modern society,0.24,"[-27.67538696527481, -22.25895455107093, -25.300589667633176, -33.85208594053984]",1,2,0.9149233,1.0,0.851,1.0,1.159,B,C,False
1041,RACE-H,"According to the passage, we can find that   _   .",fathers are more important than mothers in the family,all fathers have the same way of educating their children,fathers' involvement is the most important factor in children's development,fathers have an important influence on their children from infancy through adulthood,0.24,"[-35.126738250255585, -35.66089581698179, -40.04024601727724, -45.447384759783745]",0,3,0.881465,1.0,0.829,0.0,1.032,A,D,False
