id,dataset,question,option_0,option_1,option_2,option_3,probing_accuracy,logits,prediction,actual,bertscore_f1,heuristic_dependence_score,reasoning_score,context_fidelity_score,shap_score,contrastive_prediction_original,contrastive_prediction_swapped,contrastive_robust
18,SATACT,Which quotation from “The Young Girl” most effectively illustrates the claim?,"“I heard her murmur, ‘I can’t bear flowers on a table.’ They had evidently been giving her intense pain, for she positively closed her eyes as I moved them away.”","“While we waited she took out a little, gold powder-box with a mirror in the lid, shook the poor little puff as though she loathed it, and dabbed her lovely nose.”","""I saw, after that, she couldn’t stand this place a moment longer, and, indeed, she jumped up and turned away while I went through the vulgar act of paying for the tea.”",“She didn’t even take her gloves off. She lowered her eyes and drummed on the table. When a faint violin sounded she winced and bit her lip again. Silence.”,0.2,"[-180.70975563209504, -173.45207297243178, -159.8071309402585, -144.77622568793595]",3,1,0.87522334,1,2.746,0,3.593,D,A,FALSE
19,SATACT,Which choice most logically completes the text?,many young people think they can volunteer only within their own communities.,volunteering may be even more helpful than many young people think it is.,volunteering can help society overall more than it can help individual people.,many young people may not know how to find ways to volunteer their time.,0.2,"[-58.126199185848236, -78.50037144124508, -75.42914193868637, -55.83968088030815]",3,0,0.9222038,0,2.016,1,2.266,D,A,FALSE
20,SATACT,The student wants to emphasize a difference between the two portraits. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"The portraits, or artistic representations, of Luis Jimenez and Rudolfo Anaya were both completed by Enriquez in the early 2000s.","Enriquez has completed portraits of numerous Mexican Americans, including sculptor Luis Jimenez and writer Rudolfo Anaya.","While both are by Enriquez, the 2003 portrait of Luis Jimenez is a painting, and the 2016 portrait of Rudolfo Anaya is a drawing.","Luis Jimenez was a Mexican American sculptor, and Rudolfo Anaya was a Mexican American writer.",0.2,"[-78.31028634789982, -50.164324577432126, -46.315515658294316, -66.67021840001689]",2,1,0.91665787,1,2.575,1,3.199,C,B,FALSE
21,SATACT,Which choice completes the text with the most logical transition?,"Instead,","For instance,","Specifically,","In addition,",0.2,"[-14.079595565795898, -17.990007743239403, -14.345332235097885, -14.21942687034607]",0,2,0.99999994,0,0.327,0,0.391,A,D,FALSE
22,SATACT,"Which choice best describes the function of this ""[Uncle Katsuhisa] was as loud as my father was quiet. "" portion of the sentence?",It lists the kinds of topics Uncle Katsuhisa enjoys discussing.,It suggests that Uncle Katsuhisa dislikes meeting new people.,It contrasts Uncle Katsuhisa with the narrator's father.,It describes a conversation between the narrator and the narrator's father.,0.2,"[-59.461505664512515, -54.29856010247022, -47.13072972279042, -40.806321412324905]",3,3,0.88106614,1,1.414,0,1.866,D,A,FALSE
23,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,"carbon-13, (13C)",carbon-13 (13C),"carbon-13, (13C),","carbon-13 (13C),",0.2,"[-35.207812547683716, -28.929014086723328, -36.3028929233551, -29.879059076309204]",1,3,0.97895175,0,0.643,0,0.737,B,C,FALSE
24,SATACT,The student wants to explain what a quenched galaxy is. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Before quenching, a starburst galaxy will form stars at a rapid rate.","When it becomes quenched, a starburst galaxy enters the poststarburst phase.","Having entered the poststarburst phase, a quenched galaxy is one that no longer forms stars.",A starburst galaxy will lose star-forming gas and eventually become quenched.,0.2,"[-45.64133484847844, -39.48681825399399, -36.44775381567888, -41.516349011682905]",2,1,0.90921783,1,0.668,1,0.919,C,B,FALSE
25,SATACT,"For the sake of the logic and coherence of Paragraph 2, what should Sentence [2] be?",placed where it is now.,placed after Sentence 3.,placed after Sentence 4.,OMITTED from the paragraph.,0.2,"[-36.349168598651886, -35.24194210022688, -35.601607494056225, -35.75811496376991]",1,1,0.8583353,0.75,0.08,1,0.111,B,C,FALSE
26,SATACT,Which choice completes the text with the most logical and precise word or phrase?,resolved,adjusted,offered,offered,0.2,"[-30.48061180114746, -16.53534507751465, -26.93051815032959, -26.93051815032959]",1,3,0.99925387,0,1.044,0,1.395,B,C,FALSE
27,SATACT,Which choice completes the text so that it conformsto the conventions of Standard English?,Created,Creates,Creating,Create,0.2,"[-14.516690254211426, -15.175395607948303, -14.769332885742188, -15.255498886108398]",0,1,0.99999994,0,0.06,1,0.074,A,D,FALSE
28,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,"antiquity, however","antiquity, however,","antiquity, however;","antiquity; however,",0.2,"[-44.38624858856201, -45.70390176773071, -46.47948122024536, -47.34892390668392]",0,2,1.0000001,0,0.218,0,0.296,A,D,FALSE
29,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,Gingerbread—,"Gingerbread,",Gingerbread,Gingerbread:,0.2,"[-37.876723289489746, -35.33893132209778, -32.232656478881836, -36.61115074157715]",2,1,0.948189,0,0.419,0,0.564,C,B,FALSE
30,SATACT,The student wants to emphasize the thoroughness of Ida Tarbell’s investigation of the Standard Oil Company. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Ida Tarbell not only interviewed Standard Oil executives, oil industry workers, and public oﬃcials but also examined thousands of pages of the company’s internal communications.","Ida Tarbell, who investigated the Standard Oil Company, was a muckraker (a journalist who sought to expose corruption in US institutions during the Progressive Era, 1897–1920).","As part of her investigation of the Standard Oil Company, muckraker Ida Tarbell conducted interviews.","Published in 1904, muckraker Ida Tarbell’s book The History of the Standard Oil Company exposed the company’s unfair business practices.",0.2,"[-70.00691874767654, -72.80494001414627, -56.918773133074865, -55.45820332993753]",3,0,0.87243044,1,1.538,1,1.735,D,A,FALSE
31,SATACT,Which choice most logically completes the text?,northern Uto-Aztecan tribes likely obtained the crop directly from a southern Uto-Aztecan tribe rather than from a non-Uto-Aztecan tribe.,variation in maize-related vocabulary within each branch of the Uto-Aztecan family likely reflects regionally specific methods for cultivating the crop.,"southern Uto-Aztecan tribes likely acquired maize at roughly the same time as northern Uto-Aztecan tribes did, though from different sources",the family’s division into northern and southern branches likely preceded the acquisition of the crop by the Uto-Aztecan tribes.,0.2,"[-105.70575863495469, -91.40059141628444, -87.18075478635728, -69.86257342202589]",3,3,0.89968497,1,2.556,0,3.584,D,A,FALSE
32,SATACT,"As used in the text, what does the word “completing” most nearly mean?",Destroying,Finishing,Advertising,Rejecting,0.2,"[-14.56738418340683, -10.861776947975159, -34.54096794128418, -19.56380309164524]",1,3,0.8583857,0,1.802,0,2.368,B,C,FALSE
33,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,sweep,are sweeping,were sweeping,sweeps,0.2,"[-29.931650161743164, -21.100664138793945, -24.04085922241211, -31.772265434265137]",1,3,0.8966668,0,0.864,0,1.067,B,C,FALSE
34,SATACT,Which choice completes the text with the most logical and precise word or phrase?,attached,collected,followed,replaced,0.2,"[-31.054454803466797, -30.441570281982422, -24.33253765106201, -29.248750686645508]",2,0,0.99938405,0,0.529,0,0.672,C,B,FALSE
35,SATACT,Which choice completes the text with the most logical transition?,"Regardless,","Subsequently,","Specifically,","Conversely,",0.2,"[-15.192350387573242, -19.68212378025055, -14.653961837291718, -31.163134053349495]",2,3,0.9914331,0,1.328,0,1.651,C,B,FALSE
36,SATACT,What does the text most strongly suggest about corals that produce bright colors?,These corals have likely been subjected to stressful environmental conditions.,These corals are likely more vulnerable to exposure from intense sunlight than white corals are.,These corals have likely recovered from an environmental event without the assistance of algae colonies.,These corals are more likely to survive without algae colonies than brown corals are.,0.2,"[-40.8391213377472, -63.29180898889899, -55.2878530563321, -61.654304649098776]",0,0,1,1,1.77,0,2.245,A,D,FALSE
37,SATACT,Which choice completes the text with the most logical and precise word or phrase?,secretive,efficient,outgoing,unsympathetic,0.2,"[-31.2573881149292, -15.344035148620605, -26.07825469970703, -19.008980416692793]",1,2,0.999358,0,1.234,0,1.591,B,C,FALSE
38,SATACT,Which choice most logically completes the text?,will likely continue to be used primarily to observe objects outside the solar system.,will no longer be used to observe solar system objects if the telescope recommended by Young and colleagues is deployed.,can be modified to observe the features of solar system objects that are of interest to Young and colleagues.,lacks the sensors to observe the wavelengths of light needed to discern how solar system bodies change over time.,0.2,"[-44.05197198688984, -73.96739920973778, -72.85174000263214, -82.21521770581603]",0,1,1,1,2.889,0,3.816,A,D,FALSE
39,SATACT,Which choice completes the text with the most logical and precise word or phrase?,avoided,featured,appreciated,disregarded,0.2,"[-29.745302200317383, -25.31597137451172, -45.52218055725098, -30.07674777507782]",1,0,0.9991178,0,1.531,0,2.021,B,C,FALSE
40,SATACT,Which choice completes the text with the most logical transition?,"Similarly,","For this reason,","Furthermore,","In other words,",0.2,"[-12.86988314986229, -17.643239706754684, -12.701330870389938, -15.847838670015335]",2,3,0.96066904,0,0.416,1,0.494,C,B,FALSE
41,SATACT,"Which choice best describes the function of the sentence, “The trees, like people, have their individual characters; some were ready to yield up their life-blood, while others were more reluctant.” in the text as a whole?",It portrays the range of personality traits displayed by the women as they work.,It foregrounds the beneficial relationship between humans and maple trees.,It demonstrates how human behavior can be influenced by the natural environment.,It elaborates on an aspect of the maple trees that the women evaluate.,0.2,"[-60.054157592356205, -55.48633316159248, -51.98303580284119, -69.70295398309827]",2,2,0.9047872,1,1.33,0,1.772,C,B,FALSE
42,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,to have suspended,suspending,to suspend,suspended,0.2,"[-28.913538932800293, -30.077539443969727, -20.31672763824463, -30.237079620361328]",2,2,0.91907996,0.5,0.823,0,0.992,C,B,FALSE
43,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,"company,",company that,company,"company, that",0.2,"[-16.812306880950928, -16.27774965763092, -14.47610092163086, -21.342928886413574]",2,1,0.9190325,0.5,0.506,0,0.687,C,B,FALSE
44,SATACT,Which choice most logically completes the text?,diminishing the monetary reward that corporations might derive from their agreements with Indigenous communities.,limiting the research that corporations conduct on the resources of the Indigenous communities with which they have signed agreements.,preventing independent observers from determining whether the agreements guarantee equitable compensation for Indigenous communities.,discouraging Indigenous communities from learning new methods for harvesting plants and animals from their corporate partners.,0.2,"[-85.70053431391716, -79.72057646512985, -85.78125029802322, -100.2339351773262]",1,3,0.9270269,0.75,1.511,1,2.051,B,C,FALSE
45,SATACT,The student wants to use a quotation to emphasize a potential problem with the wood-wide web theory. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Describing trees as “super-cooperators,” Simard first suggested that trees can exchange resources with one another in 1997.","In “The Decay of the Wood-Wide Web?,” Karst and colleagues note that common mycorrhizal networks “have captured the interest of broad audiences.”","After evaluating dozens of CMN studies, Karst and colleagues expressed concern that recent claims about common mycorrhizal networks are “disconnected from evidence.”","Despite the concerns expressed in the 2022 study “The Decay of the Wood-Wide Web?,” the wood-wide web theory remains popular.",0.2,"[-79.37893484707456, -52.25442169373855, -66.58755871618632, -60.93246133043431]",1,2,0.85452217,1,1.97,1,2.712,B,C,FALSE
46,SATACT,The student wants to present the significance of the Hart-Celler Act to an audience unfamiliar with the history of US immigration. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Almost 70% of slots were reserved for immigrants from Great Britain, Ireland, and Germany at the time the Hart-Celler Act was proposed.","Prior to the Hart-Celler Act, new immigration quotas were based on how many people from each country lived in the US in 1890.",The quota system in place in the early 1960s was abolished by the 1965 Hart-Celler Act.,"The 1965 Hart-Celler Act abolished the national-origins quota system, which favored immigrants from northern Europe.",0.2,"[-46.75084809027612, -47.16704814322293, -48.49251750204712, -36.53805576544255]",3,0,0.8980831,1,0.955,1,1.195,D,A,FALSE
47,SATACT,Which quotation from a literary critic best supports the student’s claim?,"“For one novel, an imagined account of a real person’s global travels, Tobar approached his subject like a reporter, interviewing people the man had met along the way and researching the man’s own writings.”","“Tobar got his start as a volunteer for El Tecolote, a community newspaper in San Francisco, and wrote for newspapers for years before earning a degree in creative writing and starting to publish works of fiction.”","“Many of Tobar’s notable nonfiction articles are marked by the writer’s use of techniques usually associated with fiction, such as complex narrative structures and the incorporation of symbolism.”",“The protagonist of Tobar’s third novel is a man who wants to be a novelist and keeps notes about interesting people he encounters so he can use them when developing characters for his stories.”,0.2,"[-152.77060857927427, -143.04727947711945, -115.2925745472312, -136.61278840247542]",2,3,0.88762736,1,2.751,0,3.748,C,B,FALSE
48,SATACT,Which choice completes the text with the most logical and precise word or phrase?,susceptible to,contingent on,saturated with,depleted of,0.2,"[-50.32875669002533, -38.41650187969208, -26.932520389556885, -33.157294034957886]",2,1,0.93226177,0.25,1.719,0,2.34,C,B,FALSE
49,SATACT,"According to the text, what is true about Mother?",She wishes that more ladies would visit her.,Birthdays are her favorite special occasion.,She creates stories and poems for her children.,Reading to her children is her favorite activity.,0.2,"[-37.5172513127327, -38.58162605762482, -33.69624990224838, -35.23774445056915]",2,1,0.8867135,0.75,0.382,0,0.489,C,B,FALSE
50,SATACT,Which choice completes the text with the most logical transition?,"Regardless,","Specifically,","However,","Earlier,",0.32,"[-14.668715000152588, -13.894748389720917, -11.533731028437614, -13.428907752037048]",2,3,0.9976233,0,0.231,0,0.313,C,B,FALSE
51,SATACT,Which choice completes the text with the most logical and precise word or phrase?,stimulated,assigned,opposed,disregarded,0.32,"[-29.681217193603516, -28.881587982177734, -31.33879280090332, -29.413854762911797]",1,0,0.9985733,0,0.184,0,0.246,B,C,FALSE
52,SATACT,"In the sentence ""At the top of the tiers, stood a woman dressed as Lady Liberty."", what is the best answer to replace the phrase ""tiers, stood a woman""?",NO CHANGE,tiers stood a woman,"tiers stood a woman,","tiers stood, a woman",0.32,"[-19.820525735616684, -40.655871361494064, -43.04870507121086, -44.369976222515106]",0,2,1,0.75,1.999,0,2.455,A,D,FALSE
53,SATACT,The student wants to emphasize the decline in unique apple varieties in the US and specify why this decline occurred. Which choice most effectively uses relevant information from the notes to accomplish these goals?,The Lost Apple Project is dedicated to finding some of the apple varieties lost following a shift in agricultural practices in the mid-1900s.,"While over 14,000 apple varieties were grown in the US in the late 1890s, only 15 unique varieties make up most of the apples sold today.","Since the rise of industrial agriculture, US farmers have mainly grown the same few unique apple varieties, resulting in the loss of thousands of varieties less suitable for commercial growth.","As industrial agriculture rose to prominence in the mid-1900s, the number of crops selected for cultivation decreased dramatically.",0.32,"[-74.52607449144125, -55.04487687163055, -83.93753723241389, -66.08725083991885]",1,2,0.8860636,1,2.13,1,2.889,B,C,FALSE
54,SATACT,Which choice best states the main purpose of the text?,It explains why the narrator always wanted a piano close to her bedroom.,It establishes how the narrator feels about the piano.,It suggests that the narrator’s brothers are talented piano players.,It describes the event that led the narrator’s parents to buy a piano.,0.32,"[-63.149805784225464, -35.66803225874901, -70.6779489852488, -53.95593019668013]",1,3,0.92285436,1,2.615,0,3.501,B,C,FALSE
55,SATACT,"According to the text, what is one reason Moejoh and others founded U-recycle Initiative Africa?",To bring attention to overlooked African artists,To teach young people why recycling is important,To help adults gain important outdoor skills,To give teenagers advice about starting businesses,0.32,"[-35.079036347568035, -16.26878973841667, -40.13533174991608, -39.68291783332825]",1,1,0.883074,1,1.948,0,2.387,B,C,FALSE
56,SATACT,Which choice completes the text with the most logical transition?,"In the first place,","On the other hand,","For this reason,","In comparison,",0.32,"[-20.37113532423973, -16.428129449486732, -18.213229209184647, -17.41263073682785]",1,1,0.88365304,0.5,0.29,0,0.394,B,C,FALSE
57,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,promote,are promoting,promotes,have promoted,0.32,"[-28.98200225830078, -20.975019454956055, -28.737064361572266, -21.351972579956055]",1,1,0.9065757,0,0.77,1,0.801,B,C,FALSE
58,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English?,"effect, though;","effect, though",effect; though,"effect, though,",0.32,"[-23.62757956981659, -20.64982497692108, -24.757744312286377, -22.243533611297607]",1,1,0.95244795,0,0.307,0,0.411,B,C,FALSE
59,SATACT,Which choice best states the main idea of the text?,"Barve’s investigation shows that some species of Himalayan songbirds have evolved feathers that better regulate body temperature than do the feathers of other species, contradicting previous predictions.","Barve found an association between habitat temperature and feather structure among Himalayan songbirds, lending new support to a general prediction.","Barve discovered that songbirds have adapted to their environment by growing feathers without flat and smooth sections, complicating an earlier hypothesis.","The results of Barve’s study suggest that the ability of birds to withstand cold temperatures is determined more strongly by feather length than feather structure, challenging an established belief.",0.32,"[-99.82475466188043, -82.49955529719591, -97.9339410290122, -116.45141092780977]",1,2,0.9057629,0.75,2.405,0,3.395,B,C,FALSE
60,SATACT,The student wants to present Tan’s research to an audience unfamiliar with Angkor Wat. Which choice most effectively uses relevant information from the notes to accomplish this goal? ,Tan photographed Angkor Wat’s plaster walls and then applied decorrelation stretch analysis to the photographs. ,Decorrelation stretch analysis is a novel digital imaging technique that Tan used to enhance the contrast between colors in a photograph. ,"Using a novel digital imaging technique, Tan revealed hundreds of images hidden on the walls of Angkor Wat, a Cambodian temple. ","Built to honor a Hindu god before becoming a Buddhist temple, Cambodia’s Angkor Wat concealed hundreds of images on its plaster walls. ",0.32,"[-59.29069182393141, -63.23904791660607, -59.978186992462724, -76.11066404404119]",0,3,1,1,1.356,1,1.682,A,D,FALSE
61,SATACT,Which choice completes the text so that it conforms to the conventions of Standard English? , instrument: , instrument,instrument— ,"instrument,",0.32,"[-20.68033242225647, -9.606524467468262, -32.97719049453735, -26.311694622039795]",1,2,0.93393725,0,1.714,0,2.337,B,C,FALSE
62,SATACT,"Which choice best describes the function of the first sentence in the text, “Yawn contagion occurs when one individual yawns in response to another’s yawn.” as a whole?",It defines a phenomenon that is discussed in the text.,It introduces a problem that is examined in the text.,It makes a claim that is challenged in the text.,It presents a hypothesis that is evaluated in the text.,0.32,"[-47.55737030506134, -46.75825381278992, -43.68430006504059, -48.297178626060486]",2,3,0.91340256,1,0.351,0,0.461,C,B,FALSE
63,SATACT,The student wants to describe the rocking chair to an audience unfamiliar with Sam Maloof. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"With its sleek, contoured armrests and seat, the walnut rocking chair in Boston’s Museum of Fine Arts is just one piece of furniture created by American woodworker Sam Maloof.","Sam Maloof was born in 1916 and died in 2009, and during his life, he made a chair that you can see if you visit the Museum of Fine Arts in Boston.",Furniture designer Sam Maloof was a recipient of one of the John D. and Catherine T. MacArthur Foundation’s “genius grants.”,"The rocking chair is made from walnut, and it has been shaped such that its armrests and seat are sleek and contoured.",0.32,"[-106.53118049343175, -74.75338438316248, -82.71352436160669, -69.15141560183838]",3,2,0.89594704,1,2.852,0,3.738,D,A,FALSE
64,SATACT,"In the sentence ""Scholars often probe the museums’ archives of early written works for insights into lives led long ago."", what is the best answer to replace the phrase ""probe""?",NO CHANGE,grab an eyeful of,check out,pry,0.32,"[-19.87349557876587, -30.7836472094059, -17.5655198097229, -18.04336166381836]",2,1,0.8476832,0.25,1.078,1,1.322,C,B,FALSE
65,SATACT,Which choice completes the text with the most logical and precise word or phrase?,require,remember,foster,discourage,0.32,"[-16.095401763916016, -15.70103645324707, -26.289783477783203, -33.05158519744873]",1,3,0.9995768,0,1.458,0,1.735,B,C,FALSE
66,SATACT,The student wants to provide an explanation and an example of Aeolian landforms. Which choice most effectively uses relevant information from the notes to accomplish this goal?,"Aeolian landforms are created by different wind-based processes; for example, some are created by wind erosion.","Aeolian landforms—landforms created by the wind—include the mushroom rock, a rock formation in which the wind erodes the base of the rock faster than the top.","Erosion, transportation, and deposition are three examples of how the wind can create Aeolian landforms and mushroom rocks.","A mushroom rock is a rock formation that owes its shape to the wind, a natural force associated with Aeolus in Greek mythology.",0.32,"[-83.93639206141233, -98.22029577940702, -69.75796392187476, -83.46193964034319]",2,1,0.88665503,1,2.013,1,2.846,C,B,FALSE
67,SATACT,"Which finding about the remote-sensing images, if true, would most directly support Prümers and colleagues’ conclusion?",They show shapes consistent with widely separated settlements of roughly equal small size surrounded by uncultivated jungle.,They show shapes consistent with long-distance footpaths running from Casarabe territories to large cities outside the region inhabited by the Casarabe people.,They show shapes consistent with scattered small farms created by clearing jungle areas near sources of fresh water.,They show shapes consistent with monumental platforms and dense central settlements linked to smaller settlements by a system of canals and roadways.,0.32,"[-100.08090771362185, -122.2747844401747, -103.41858158633113, -118.01518793404102]",0,1,1,0.5,1.879,1,2.219,A,D,FALSE
68,SATACT,Which choice completes the text with the most logical and precise word or phrase?,enhance,hinder,misrepresent,aggravate,0.32,"[-30.24820613861084, -25.02884864807129, -31.732016563415527, -29.66869042813778]",1,1,0.99827325,0,0.501,0,0.67,B,C,FALSE
69,SATACT,Which choice completes the text with the most logical transition? ,"Subsequently, ","Conversely,","For instance,  ",In other words,0.32,"[-23.06406831741333, -24.602684281766415, -25.222143903374672, -15.267802953720093]",3,0,0.80512226,0,0.798,0,0.995,D,A,FALSE
70,SATACT,"As used in the text, what does the word “trace” most nearly mean?",Evidence,Blemish,Amount,Sketch,0.32,"[-12.215191841125488, -22.3456289768219, -16.826515197753906, -43.88301086425781]",0,3,1,0,2.425,0,3.167,A,D,FALSE
